"site_id","snotel_id","stationTriplet","elevation","latitude","longitude","in_basin","huc"
"ruedi_reservoir_inflow",680,"680:CO:SNTL",9621,38.81982,-106.58962,FALSE,"140200"
"san_joaquin_river_millerton_reservoir",356,"356:CA:SNTL",8067,38.60801,-119.92455,FALSE,"180400"
"san_joaquin_river_millerton_reservoir",587,"587:CA:SNTL",9249,38.43745,-119.36572,FALSE,"160503"
"san_joaquin_river_millerton_reservoir",771,"771:CA:SNTL",8770,38.31021,-119.6003,FALSE,"160503"
"san_joaquin_river_millerton_reservoir",462,"462:CA:SNTL",8661,38.5497,-119.80468,FALSE,"160502"
"skagit_ross_reservoir",711,"711:WA:SNTL",4890,48.51865,-120.7358,FALSE,"171100"
"skagit_ross_reservoir",606,"606:WA:SNTL",5980,48.19798,-120.91678,FALSE,"170200"
"skagit_ross_reservoir",681,"681:WA:SNTL",4600,48.44488,-120.91551,FALSE,"170200"
"skagit_ross_reservoir",515,"515:WA:SNTL",6490,48.72047,-120.6586,FALSE,"171100"
"snake_r_nr_heise",506,"506:WY:SNTL",8750,43.38939,-110.12943,TRUE,"170401"
"snake_r_nr_heise",689,"689:WY:SNTL",8200,43.51687,-110.91258,TRUE,"170401"
"snake_r_nr_heise",868,"868:WY:SNTL",8080,42.81513,-110.83515,TRUE,"170401"
"snake_r_nr_heise",761,"761:ID:SNTL",7225,42.56248,-111.29797,FALSE,"170402"
"stehekin_r_at_stehekin",681,"681:WA:SNTL",4600,48.44488,-120.91551,TRUE,"170200"
"stehekin_r_at_stehekin",606,"606:WA:SNTL",5980,48.19798,-120.91678,FALSE,"170200"
"stehekin_r_at_stehekin",711,"711:WA:SNTL",4890,48.51865,-120.7358,FALSE,"171100"
"stehekin_r_at_stehekin",515,"515:WA:SNTL",6490,48.72047,-120.6586,FALSE,"171100"
"sweetwater_r_nr_alcova",342,"342:WY:SNTL",9080,42.6458,-109.25965,FALSE,"140401"
"sweetwater_r_nr_alcova",525,"525:WY:SNTL",10100,42.86984,-109.09455,FALSE,"100800"
"sweetwater_r_nr_alcova",826,"826:WY:SNTL",8700,42.69525,-108.89572,FALSE,"100800"
"sweetwater_r_nr_alcova",786,"786:WY:SNTL",8620,43.03313,-109.17025,FALSE,"100800"
"taylor_park_reservoir_inflow",680,"680:CO:SNTL",9621,38.81982,-106.58962,TRUE,"140200"
"taylor_park_reservoir_inflow",380,"380:CO:SNTL",10200,38.89435,-106.95327,FALSE,"140200"
"taylor_park_reservoir_inflow",542,"542:CO:SNTL",10598,39.07543,-106.61154,FALSE,"140100"
"taylor_park_reservoir_inflow",556,"556:CO:SNTL",9624,39.3172,-106.61501,FALSE,"140100"
"virgin_r_at_virtin",626,"626:UT:SNTL",9827,37.56933,-112.83849,FALSE,"160300"
"virgin_r_at_virtin",561,"561:UT:SNTL",9263,37.52664,-113.05386,TRUE,"150100"
"virgin_r_at_virtin",853,"853:UT:SNTL",9203,37.575,-112.90155,TRUE,"150100"
"virgin_r_at_virtin",514,"514:UT:SNTL",7792,37.48997,-112.57602,FALSE,"160300"
"weber_r_nr_oakley",392,"392:UT:SNTL",9171,40.85464,-111.04765,FALSE,"160201"
"weber_r_nr_oakley",435,"435:UT:SNTL",8008,40.2953,-111.25677,FALSE,"140600"
"weber_r_nr_oakley",330,"330:UT:SNTL",8280,40.61233,-111.09782,FALSE,"160202"
"weber_r_nr_oakley",820,"820:UT:SNTL",8140,40.42817,-111.61633,FALSE,"160202"
"yampa_r_nr_maybell",457,"457:CO:SNTL",8271,40.5337,-106.7814,TRUE,"140500"
"yampa_r_nr_maybell",673,"673:WY:SNTL",9860,41.15426,-106.96926,FALSE,"101800"
"yampa_r_nr_maybell",852,"852:WY:SNTL",9260,41.1591,-106.92809,FALSE,"101800"
"yampa_r_nr_maybell",467,"467:CO:SNTL",8739,40.84758,-106.96861,TRUE,"140500"
"american_river_folsom_lake",587,"587:CA:SNTL",9249,38.43745,-119.36572,FALSE,"160503"
