date,PREC_DAILY,WTEQ_DAILY
2021-04-16,107.9,68.4
2021-04-17,107.9,67.5
2021-04-18,107.9,66.6
2021-04-19,107.9,65.9
2021-04-20,107.9,65.5
2021-04-21,107.9,65.1
2021-04-22,107.9,64.4
2021-04-23,107.9,64.1
2021-04-24,108.5,64.2
2021-04-25,108.7,64.2
2021-04-26,108.9,64.3
2021-04-27,108.9,64.3
2021-04-28,108.9,64.1
2021-04-29,108.9,63.5
2021-04-30,109.1,62.8
2021-05-01,109.3,62.1
2021-05-02,109.3,61.7
2021-05-03,109.4,61.7
2021-05-04,109.5,61.1
2021-05-05,109.3,60.4
2021-05-06,109.8,59.9
2021-05-07,111.3,60.6
2021-05-08,111.3,60.8
2021-05-09,111.3,60.9
2021-05-10,111.3,60.9
2021-05-11,111.3,60.4
2021-05-12,111.3,59.6
2021-05-13,111.3,58.8
2021-05-14,111.3,57.8
2021-05-15,111.3,56.6
2021-05-16,111.3,55.5
2021-05-17,111.6,55.0
2021-05-18,113.4,55.9
2021-05-19,113.7,56.1
2021-05-20,114.3,56.5
2021-05-21,114.3,55.9
2021-05-22,114.3,55.0
2021-05-23,114.4,54.5
2021-05-24,114.8,53.9
2021-05-25,115.0,53.1
2021-05-26,115.1,52.3
2021-05-27,117.1,52.2
2021-05-28,117.1,52.0
2021-05-29,117.1,51.0
2021-05-30,117.1,49.9
2021-05-31,117.1,48.3
2021-06-01,117.1,46.2
2021-06-02,117.1,43.8
2021-06-03,117.1,41.8
2021-06-04,117.1,40.4
2021-06-05,118.7,40.0
2021-06-06,119.1,40.1
2021-06-07,119.3,39.8
2021-06-08,119.6,39.2
2021-06-09,119.7,38.4
2021-06-10,119.7,37.8
2021-06-11,119.7,37.2
2021-06-12,119.7,35.6
2021-06-13,120.6,34.0
2021-06-14,120.6,32.3
2021-06-15,120.6,30.8
2021-06-16,120.6,29.3
2021-06-17,120.6,27.4
2021-06-18,120.6,25.2
2021-06-19,120.6,23.5
2021-06-20,120.6,21.0
2021-06-21,120.6,18.2
2021-06-22,120.6,15.3
2021-06-23,120.6,12.6
2021-06-24,120.6,10.1
2021-06-25,120.6,7.1
2021-06-26,120.6,3.7
2021-06-27,120.6,1.2
2021-06-28,120.6,0.1
2021-06-29,120.6,0.0
2021-06-30,120.6,0.0
2021-07-01,120.6,0.0
2021-07-02,120.6,0.0
2021-07-03,120.6,0.0
2021-07-04,120.6,0.0
2021-07-05,120.6,0.0
2021-07-06,120.6,0.0
2021-07-07,120.6,0.0
2021-07-08,120.6,0.0
2021-07-09,120.6,0.0
2021-07-10,120.6,0.0
2021-07-11,120.6,0.0
2021-07-12,120.6,0.0
2021-07-13,120.6,0.0
2021-07-14,120.9,0.0
2021-07-15,120.9,0.0
2021-07-16,120.9,0.0
2021-07-17,120.9,0.0
2021-07-18,120.9,0.0
2021-07-19,120.9,0.0
2021-07-20,120.9,0.0
2021-07-21,120.9,0.0
